"Release_Date_ID","Release_Year"
1,"1980-01-01"
2,"1981-01-01"
3,"1982-01-01"
4,"1983-01-01"
5,"1984-01-01"
6,"1985-01-01"
7,"1986-01-01"
8,"1987-01-01"
9,"1988-01-01"
10,"1989-01-01"
11,"1990-01-01"
12,"1991-01-01"
13,"1992-01-01"
14,"1993-01-01"
15,"1994-01-01"
16,"1995-01-01"
17,"1996-01-01"
18,"1997-01-01"
19,"1998-01-01"
20,"1999-01-01"
21,"2000-01-01"
22,"2001-01-01"
23,"2002-01-01"
24,"2003-01-01"
25,"2004-01-01"
26,"2005-01-01"
27,"2006-01-01"
28,"2007-01-01"
29,"2008-01-01"
30,"2009-01-01"
31,"2010-01-01"
32,"2011-01-01"
33,"2012-01-01"
34,"2013-01-01"
35,"2014-01-01"
36,"2015-01-01"
37,"2016-01-01"
38,"2017-01-01"
39,"2018-01-01"
40,"2019-01-01"
41,"2020-01-01"
